location,pulled_timestamp,predicting_timestamp,temperature_f,humidity_pct,wind_speed_mph,wind_direction_deg,temp_c,is_comfortable,_kafka_key,_kafka_partition,_kafka_offset
"Honolulu, HI",2026-06-15T03:20:47+00:00,2026-06-15T00:00,81.1,60,13.6,75,27.28,true,Honolulu,0,0
"Honolulu, HI",2026-06-15T03:20:47+00:00,2026-06-15T01:00,80.2,61,12.3,68,26.78,true,Honolulu,0,1
"Honolulu, HI",2026-06-15T03:20:47+00:00,2026-06-15T02:00,78.9,64,12.6,59,26.06,true,Honolulu,0,2
"Honolulu, HI",2026-06-15T03:20:47+00:00,2026-06-15T03:00,77.1,70,14.3,53,25.06,false,Honolulu,0,3
"Honolulu, HI",2026-06-15T03:20:47+00:00,2026-06-15T04:00,76.1,72,15.1,51,24.5,false,Honolulu,0,4
"Honolulu, HI",2026-06-15T03:20:47+00:00,2026-06-15T05:00,73.8,78,13.9,42,23.22,false,Honolulu,0,5
"Honolulu, HI",2026-06-15T03:20:47+00:00,2026-06-15T06:00,72.4,83,14.2,33,22.44,false,Honolulu,0,6
"Honolulu, HI",2026-06-15T03:20:47+00:00,2026-06-15T07:00,71.9,85,13.6,34,22.17,false,Honolulu,0,7
"Honolulu, HI",2026-06-15T03:20:47+00:00,2026-06-15T08:00,72.3,87,13.2,34,22.39,false,Honolulu,0,8
"Honolulu, HI",2026-06-15T03:20:47+00:00,2026-06-15T09:00,72.1,87,14.2,36,22.28,false,Honolulu,0,9
"Honolulu, HI",2026-06-15T03:20:47+00:00,2026-06-15T10:00,71.3,87,13.2,32,21.83,false,Honolulu,0,10
"Honolulu, HI",2026-06-15T03:20:47+00:00,2026-06-15T11:00,70.3,90,12.1,23,21.28,false,Honolulu,0,11
"Honolulu, HI",2026-06-15T03:20:47+00:00,2026-06-15T12:00,71.0,89,9.3,40,21.67,false,Honolulu,0,12
"Honolulu, HI",2026-06-15T03:20:47+00:00,2026-06-15T13:00,70.5,92,9.5,57,21.39,false,Honolulu,0,13
"Honolulu, HI",2026-06-15T03:20:47+00:00,2026-06-15T14:00,69.9,93,8.7,40,21.06,false,Honolulu,0,14
"Honolulu, HI",2026-06-15T03:20:47+00:00,2026-06-15T15:00,69.3,93,9.9,16,20.72,false,Honolulu,0,15
"Honolulu, HI",2026-06-15T03:20:47+00:00,2026-06-15T16:00,69.4,93,10.1,24,20.78,false,Honolulu,0,16
